"S"	"R2"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"
763.13	3594.02	0	1	0	0	0	0	0	0	0	0	0	0
939.85	3059.85	0	1	0	0	0	0	0	0	0	0	0	0
2095	7445.62	0	1	0	0	0	0	0	0	0	0	0	0
731.1	2743.46	0	1	0	0	0	0	0	0	0	0	0	0
1356.1	2440.87	0	1	0	0	0	0	0	0	0	0	0	0
1469.9	4235.82	0	1	0	0	0	0	0	0	0	0	0	0
1382.2	3289.43	0	1	0	0	0	0	0	0	0	0	0	0
2293.48	4053.95	0	1	0	0	0	0	0	0	0	0	0	0
1127.73	2011.08	0	1	0	0	0	0	0	0	0	0	0	0
195.59	234.53	0	1	0	0	0	0	0	0	0	0	0	0
967.21	1138.27	0	1	0	0	0	0	0	0	0	0	0	0
3271.54	6692.27	0	1	0	0	0	0	0	0	0	0	0	0
5204.57	13911.81	0	1	0	0	0	0	0	0	0	0	0	0
2759.84	6394.9	0	1	0	0	0	0	0	0	0	0	0	0
47.33	NA	0	1	0	0	0	0	0	0	0	0	0	0
44.75	201.3	0	1	0	0	0	0	0	0	0	0	0	0
5.95	47.74	0	1	0	0	0	0	0	0	0	0	0	0
52.7	146.84	0	1	0	0	0	0	0	0	0	0	0	0
24.13	172.41	0	1	0	0	0	0	0	0	0	0	0	0
5.85	113.77	0	1	0	0	0	0	0	0	0	0	0	0
121.93	779.73	0	1	0	0	0	0	0	0	0	0	0	0
68.85	276.44	0	1	0	0	0	0	0	0	0	0	0	0
118.65	375.25	0	1	0	0	0	0	0	0	0	0	0	0
111.05	1559.61	0	1	0	0	0	0	0	0	0	0	0	0
144.18	329.88	0	1	0	0	0	0	0	0	0	0	0	0
502.4	1312.6	0	1	0	0	0	0	0	0	0	0	0	0
214.85	574.49	0	1	0	0	0	0	0	0	0	0	0	0
259.6	843.77	0	1	0	0	0	0	0	0	0	0	0	0
109.65	482.83	0	1	0	0	0	0	0	0	0	0	0	0
135.8	146.71	0	1	0	0	0	0	0	0	0	0	0	0
100	101.95	0	1	0	0	0	0	0	0	0	0	0	0
138.1	217.84	0	1	0	0	0	0	0	0	0	0	0	0
289.82	440.59	0	1	0	0	0	0	0	0	0	0	0	0
242.15	390.93	0	1	0	0	0	0	0	0	0	0	0	0
257.2	410.56	0	1	0	0	0	0	0	0	0	0	0	0
30	NA	0	0	0	0	0	0	0	0	1	0	0	0
20	143.6	0	0	0	0	0	0	0	0	1	0	0	0
71.3	89.6	0	0	0	0	0	0	0	0	1	0	0	0
81.4	311.6	0	0	0	0	0	0	0	0	1	0	0	0
43.6	89.9	0	0	0	0	0	0	0	0	1	0	0	0
5.8	37.4	0	0	0	0	0	0	0	0	1	0	0	0
4	37.5	0	0	0	0	0	0	0	0	1	0	0	0
12.3	121.1	0	0	0	0	0	0	0	0	1	0	0	0
10.7	147.8	0	0	0	0	0	0	0	0	1	0	0	0
3	183.9	0	0	0	0	0	0	0	0	1	0	0	0
2.4	85.4	0	0	0	0	0	0	0	0	1	0	0	0
123.2	288.4	0	0	0	0	0	0	0	0	1	0	0	0
22.4	191.3	0	0	0	0	0	0	0	0	1	0	0	0
6	100.5	0	0	0	0	0	0	0	0	1	0	0	0
83.9	NA	0	0	0	0	0	0	0	0	1	0	0	0
131.1	203	0	0	0	0	0	0	0	0	1	0	0	0
62.6	80	0	0	0	0	0	0	0	0	1	0	0	0
66.1	111.5	0	0	0	0	0	0	0	0	1	0	0	0
60.7	88.6	0	0	0	0	0	0	0	0	1	0	0	0
3.1	3.9	0	0	0	0	0	0	0	0	1	0	0	0
9.8	31.9	0	0	0	0	0	0	0	0	1	0	0	0
66	82.6	0	0	0	0	0	0	0	0	1	0	0	0
101.2	162.4	0	0	0	0	0	0	0	0	1	0	0	0
99.4	208.1	0	0	0	0	0	0	0	0	1	0	0	0
26.1	106.7	0	0	0	0	0	0	0	0	1	0	0	0
94	141.3	0	0	0	0	0	0	0	0	1	0	0	0
121.9	166	0	0	0	0	0	0	0	0	1	0	0	0
216.4	534.8	0	0	0	0	0	0	0	0	1	0	0	0
131.9	365.6	0	0	0	0	0	0	0	0	1	0	0	0
401.7	NA	0	0	0	0	0	0	0	0	1	0	0	0
605.7	1857.2	0	0	0	0	0	0	0	0	1	0	0	0
302.2	688.4	0	0	0	0	0	0	0	0	1	0	0	0
390.3	913.7	0	0	0	0	0	0	0	0	1	0	0	0
201.7	470.6	0	0	0	0	0	0	0	0	1	0	0	0
15.9	28.8	0	0	0	0	0	0	0	0	1	0	0	0
76.2	76.8	0	0	0	0	0	0	0	0	1	0	0	0
228.8	257.6	0	0	0	0	0	0	0	0	1	0	0	0
309.3	396.1	0	0	0	0	0	0	0	0	1	0	0	0
425.5	898	0	0	0	0	0	0	0	0	1	0	0	0
301.5	390.6	0	0	0	0	0	0	0	0	1	0	0	0
486.5	544.2	0	0	0	0	0	0	0	0	1	0	0	0
580.7	630.3	0	0	0	0	0	0	0	0	1	0	0	0
1005.4	2011.8	0	0	0	0	0	0	0	0	1	0	0	0
811.4	852	0	0	0	0	0	0	0	0	1	0	0	0
242	NA	0	0	0	0	0	0	0	0	1	0	0	0
165	277.9	0	0	0	0	0	0	0	0	1	0	0	0
179.3	352.5	0	0	0	0	0	0	0	0	1	0	0	0
151.3	446.9	0	0	0	0	0	0	0	0	1	0	0	0
202	644.7	0	0	0	0	0	0	0	0	1	0	0	0
8.6	23.5	0	0	0	0	0	0	0	0	1	0	0	0
77.4	90.8	0	0	0	0	0	0	0	0	1	0	0	0
114.2	250	0	0	0	0	0	0	0	0	1	0	0	0
333.4	752.7	0	0	0	0	0	0	0	0	1	0	0	0
139.5	356	0	0	0	0	0	0	0	0	1	0	0	0
45.9	648.3	0	0	0	0	0	0	0	0	1	0	0	0
188	361.8	0	0	0	0	0	0	0	0	1	0	0	0
43.8	244.6	0	0	0	0	0	0	0	0	1	0	0	0
232.4	1373.8	0	0	0	0	0	0	0	0	1	0	0	0
44.3	180.1	0	0	0	0	0	0	0	0	1	0	0	0
208.2	NA	0	0	0	0	0	0	1	0	0	0	0	0
287	1819	0	0	0	0	0	0	1	0	0	0	0	0
155.4	870.6	0	0	0	0	0	0	1	0	0	0	0	0
